id,title,text,source
wiki_8919856,Hubert Dreyfus's views on artificial intelligence,"Hubert Dreyfus was a critic of artificial intelligence research. In a series of papers and books, including Alchemy and AI (1965), What Computers Can&#039;t",Wikipedia
wiki_50785023,AI alignment,"In the field of artificial intelligence (AI), alignment aims to steer AI systems toward a person&#039;s or group&#039;s intended goals, preferences, or ethical",Wikipedia
wiki_78452842,DeepSeek,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd., doing business as DeepSeek, is a Chinese artificial intelligence (AI) company",Wikipedia
wiki_59539440,Artificial intelligence in government,Artificial intelligence (AI) has a range of uses in government. It can be used to further public policy objectives (in areas such as emergency services,Wikipedia
wiki_76385892,Artificial intelligence and elections,"As artificial intelligence (AI) has become more mainstream, there is growing concern about how this will influence elections. Potential targets of AI",Wikipedia
wiki_64255327,Chief Digital and Artificial Intelligence Office,Joint Artificial Intelligence Center (JAIC) (pronounced &quot;jake&quot;) was an American organization on exploring the usage of Artificial Intelligence (AI) (particularly,Wikipedia
wiki_58256477,Artificial intelligence in Wikimedia projects,artificial intelligence (AI) and machine learning programs to edit existing articles or create new ones. Some applications of artificial intelligence,Wikipedia
wiki_77798836,Framework Convention on Artificial Intelligence,"Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law (also called Framework Convention on Artificial Intelligence, AI convention",Wikipedia
wiki_74399351,Open-source artificial intelligence,"Open-source artificial intelligence, as defined by the Open Source Initiative, is an AI system that is freely available to use, study, modify, and share",Wikipedia
wiki_142910,Creativity,"motivation, which has emerged as a research topic in the study of artificial intelligence and robotics. According to Schmidhuber, his objective function",Wikipedia
wiki_56127293,Artificial intelligence arms race,"A military artificial intelligence arms race is a technological, economic, and military competition between two or more states to develop and deploy advanced",Wikipedia
wiki_1908395,Artificial brain,takeover Animat Artificial consciousness Artificial intelligence Artificial intelligence and elections Artificial Intelligence System Artificial life Philosophy,Wikipedia
wiki_81586554,Sikhism and artificial intelligence,"While there is an argument that artificial intelligence (AI) will improve access to Sikh teachings, philosophy, and history, there are skeptics who believe",Wikipedia
wiki_74648102,Mahjong and artificial intelligence,"played all around the world. When developing a mahjong-related artificial intelligence (AI), there are several factors researchers must consider; an AI",Wikipedia
wiki_83263042,Sycophancy (artificial intelligence),"In the field of artificial intelligence, sycophancy is a tendency of large language models (LLMs) and other AI assistants to tailor their responses to",Wikipedia
wiki_65206063,G42 (company),"Group 42 Holding Ltd, doing business as G42, is an Emirati artificial intelligence (AI) development holding company founded in 2018 and based in Abu Dhabi",Wikipedia
wiki_73455792,Artificial intelligence and copyright,"2020s, the rapid advancement of deep learning-based generative artificial intelligence models raised questions about the copyright status of AI-generated",Wikipedia
wiki_80430180,List of artificial intelligence journals,"peer-reviewed academic journals that publish research in the field of artificial intelligence (AI), including areas such as machine learning, computer vision",Wikipedia
wiki_79858288,Artificial intelligence industry in the United Kingdom,"As of 2025, the artificial intelligence (AI) market in the United Kingdom is worth over £21 billion, and is expected to exceed £1 trillion by 2035. It",Wikipedia
wiki_77301785,Artificial intelligence safety institute,An artificial intelligence safety institute is a type of state-backed organization aiming to evaluate and ensure the safety of advanced artificial intelligence,Wikipedia
wiki_54008163,Artificial intelligence in industry,"Industrial artificial intelligence, or industrial AI, refers to the application of artificial intelligence to industrial business processes. Unlike general",Wikipedia
wiki_21523,Neural network (machine learning),perceptrons to emulate human intelligence. Artificial neural networks were identified as a promising direction for artificial intelligence research in the 1955,Wikipedia
wiki_74313930,Artificial intelligence content detection,"Artificial intelligence detection software aims to determine whether some content (text, image, video, or audio) was generated using artificial intelligence",Wikipedia
wiki_16538877,Artificial Intelligence Laboratory,"Artificial Intelligence Laboratory may refer to: Kiev Laboratory for Artificial Intelligence, a research institute in Kiev, Ukraine MIT Computer Science",Wikipedia
wiki_69232536,Intelligent automation,"automation, is a software term that refers to a combination of artificial intelligence (AI) and robotic process automation (RPA). Companies use intelligent",Wikipedia
wiki_82038714,2026 in artificial intelligence,"The following is a list of events of the year 2026 in artificial intelligence, as well as predicted and scheduled events that have not yet occurred. 9",Wikipedia
wiki_813176,AI takeover,"theorized future event, often depicted in fiction, in which autonomous artificial intelligence systems acquire the capability to supersede human decisions. This",Wikipedia
wiki_63225340,Artificial intelligence of things,Artificial Intelligence of Things (AIoT) is the combination of artificial intelligence (AI) technologies with the Internet of things (IoT) infrastructure,Wikipedia
wiki_434274,MIT Computer Science and Artificial Intelligence Laboratory,Computer Science and Artificial Intelligence Laboratory (CSAIL) is a research institute at the Massachusetts Institute of Technology (MIT) formed by the,Wikipedia
wiki_74312332,Ai sponge,"American sitcom Seinfeld, which began in December 2022 and used artificial intelligence (AI) to run. Streaming on the platform Twitch, the channel recreated",Wikipedia
wiki_195552,Artificial consciousness,"for artificial intelligence. It is also the corresponding field of study, which draws insights from philosophy of mind, philosophy of artificial intelligence",Wikipedia
wiki_6206236,Anthropic,"Anthropic, PBC is an American artificial intelligence (AI) public benefit corporation headquartered in San Francisco, California, founded with the goal",Wikipedia
wiki_70734095,Meta AI,that develops artificial intelligence and augmented reality technologies. Meta AI was founded in 2013 as Facebook Artificial Intelligence Research (FAIR),Wikipedia
wiki_7872324,Artificial intelligence systems integration,"The core idea of artificial intelligence systems integration is making individual software components, such as speech synthesizers, interoperable with",Wikipedia
wiki_1197108,Artificial Intelligence (series),Artificial Intelligence is a series of albums by Warp Records released from 1992–1994 to exhibit the capabilities and sounds of electronic music. Warp,Wikipedia
wiki_66980580,National Security Commission on Artificial Intelligence,The National Security Commission on Artificial Intelligence (NSCAI) was an independent commission of the United States of America from 2018 to 2021. Its,Wikipedia
wiki_30511763,AIXI,AIXI /ˈaɪksi/ is a theoretical mathematical formalism for artificial general intelligence. It combines Solomonoff induction with sequential decision theory,Wikipedia
wiki_80865550,AI bubble,"amid the AI boom, a period of rapid increase in investment in artificial intelligence (AI) that is affecting the broader economy. Speculation about a",Wikipedia
wiki_70637274,Hive (artificial intelligence company),"Hive is an American artificial intelligence company offering machine learning models via APIs to enterprise customers. Hive uses around 700,000 gig workers",Wikipedia
wiki_66026469,Artificial intelligence in hiring,"Artificial intelligence can be used to automate aspects of the job recruitment process. Advances in artificial intelligence, such as the advent of machine",Wikipedia
wiki_2711317,Intelligent agent,"In artificial intelligence, an intelligent agent is an entity that perceives its environment, takes actions autonomously to achieve goals, and may improve",Wikipedia
wiki_76578983,Artificial Intelligence (book),"Artificial Intelligence (AI) is a university textbook on artificial intelligence, written by Patrick Henry Winston. It was first published in 1977, and",Wikipedia
wiki_67112408,Empowerment (artificial intelligence),Empowerment in the field of artificial intelligence formalises and quantifies (via information theory) the potential an agent perceives that it has to,Wikipedia
wiki_82655093,Lists of artificial intelligence topics,relating to artificial intelligence: List of artificial intelligence artists List of artificial intelligence companies List of artificial intelligence films,Wikipedia
wiki_2897576,Fluent (artificial intelligence),"In artificial intelligence, a fluent is a condition that can change over time. In logical approaches to reasoning about actions, fluents can be represented",Wikipedia
wiki_66775160,Discovery system (artificial intelligence),A discovery system is an artificial intelligence system that attempts to discover new scientific concepts or laws. The aim of discovery systems is to,Wikipedia
wiki_148349,Chatbot,"introduction to his paper presented it more as a debunking exercise: In artificial intelligence, machines are made to behave in wondrous ways, often sufficient",Wikipedia
wiki_72166473,Buddhism and artificial intelligence,The relationship between Buddhist philosophy and artificial intelligence (AI) includes how principles such as the reduction of suffering and ethical responsibility,Wikipedia
wiki_63718197,Intrinsic motivation (artificial intelligence),"Intrinsic motivation, in the study of artificial intelligence and robotics, is a mechanism for enabling artificial agents (including robots) to exhibit",Wikipedia
wiki_1077353,Curiosity,"This can improve the success of an AI agent at various tasks. In artificial intelligence, curiosity is typically defined quantitatively, as the uncertainty",Wikipedia
wiki_83006723,List of university artificial intelligence research centers,"university-affiliated research centers, institutes, and laboratories focused on artificial intelligence (AI), including machine learning, computer vision, natural language",Wikipedia
wiki_72360809,AI safety,"accidents, misuse, or other harmful consequences arising from artificial intelligence systems. It encompasses AI alignment (which aims to ensure AI systems",Wikipedia
wiki_21391751,Turing test,"his test, it has been highly influential in the philosophy of artificial intelligence, resulting in substantial discussion and controversy, as well as",Wikipedia
wiki_41917196,Quantum Artificial Intelligence Lab,"The Quantum Artificial Intelligence Lab (also called the Quantum AI Lab or QuAIL) is a joint initiative of NASA, Universities Space Research Association",Wikipedia
wiki_68467460,Artificial Intelligence (EP),"Artificial Intelligence is the debut extended play by Australian comedian and musician Tom Cardy, released independently on 6 August 2021. Solely written",Wikipedia
wiki_22584291,IBM Watson,general.&quot; Artificial intelligence Blue Gene IBM Watsonx Commonsense knowledge (artificial intelligence) Glossary of artificial intelligence Artificial general,Wikipedia
wiki_79706999,Model Context Protocol,introduced by Anthropic in November 2024 to standardize the way artificial intelligence (AI) systems like large language models (LLMs) integrate and share,Wikipedia
wiki_63452,Heuristic,"ancient Greece up to contemporary work in cognitive psychology and artificial intelligence, proposing a cognitive style &quot;heuristic versus algorithmic thinking&quot;",Wikipedia
wiki_81802552,AI data center,for the computationally intensive tasks of training and running artificial intelligence (AI) and machine learning models. Unlike general-purpose data centers,Wikipedia
wiki_78823217,AI agent,"In the context of generative artificial intelligence, AI agents (also referred to as compound AI systems , agentic AI, or AI tools) are a class of intelligent",Wikipedia
wiki_18290472,Artificiality,artificial heart or artificial intelligence. Political scientist and artificial intelligence expert Herbert A. Simon observes that &quot;some artificial things,Wikipedia
wiki_54247317,Appian Corporation,"released Appian AI. In March 2020, the company updated the platform&#039;s artificial intelligence and robotic process automation capabilities. In 2020, Appian Cloud",Wikipedia
wiki_5693,Claude Shannon,all digital electronic circuits—and helped found the field of artificial intelligence. The roboticist Rodney Brooks declared Shannon the 20th century,Wikipedia
wiki_1124646,Dartmouth workshop,Research Project on Artificial Intelligence was a 1956 summer workshop widely considered to be the founding event of artificial intelligence as a field. The,Wikipedia
wiki_5841092,Artificial Intelligence (journal),Artificial Intelligence is a scientific journal on artificial intelligence research. It was established in 1970 and is published by Elsevier. The journal,Wikipedia
wiki_68734899,Erik J. Larson,author of The Myth of Artificial Intelligence: Why Computers Can’t Think the Way We Do. His next book Augmented Human Intelligence: Empowering Minds in,Wikipedia
wiki_44743280,Dynatrace,"experience. Dynatrace uses a proprietary form of artificial intelligence called Dynatrace Intelligence to discover, map, and monitor applications, microservices",Wikipedia
wiki_33900354,Artificial Intelligence Center,The Artificial Intelligence Center is a laboratory in the Information and Computing Sciences Division of SRI International. It was founded in 1966 by,Wikipedia
wiki_2468974,Journal of Artificial Intelligence Research,Artificial Intelligence Research (JAIR) is an open access peer-reviewed scientific journal covering research in all areas of artificial intelligence.,Wikipedia
wiki_79711687,Beijing Institute for General Artificial Intelligence,Beijing Institute for General Artificial Intelligence (BIGAI; Chinese: 北京通用人工智能研究院; pinyin: Běijīng Tōngyòng Réngōng Zhìnéng Yánjiùyuàn) is a research,Wikipedia
wiki_77125117,Apple Intelligence,Apple Intelligence is a collection of artificial intelligence features developed by Apple. Relying on a combination of on-device and server processing,Wikipedia
wiki_46742,Artificial Intelligence Markup Language,Artificial Intelligence Markup Language (AIML) is an XML dialect for creating natural language software agents. The XML dialect called AIML was developed,Wikipedia
wiki_36122619,Artificial life,history. Artificial neural networks are sometimes used to model the brain of an agent. Although traditionally more of an artificial intelligence technique,Wikipedia
wiki_77065873,AI literacy,AI literacy or artificial intelligence literacy is &quot;a set of competencies that enables individuals to critically evaluate AI technologies; communicate,Wikipedia
wiki_68990413,Hardware for artificial intelligence,"Specialized computer hardware is often used to execute artificial intelligence (AI) programs faster, and with less energy, such as Lisp machines, neuromorphic",Wikipedia
wiki_2239339,Commonsense knowledge (artificial intelligence),"In artificial intelligence research, commonsense knowledge consists of facts about the everyday world, such as &quot;Lemons are sour&quot; or &quot;Cows say moo&quot;, that",Wikipedia
wiki_77986589,AI slop,"content or simply slop, is digital content made with generative artificial intelligence that is perceived as lacking in effort, quality, or meaning, and",Wikipedia
wiki_81923252,ClothOff,non-pornographic photos and applying the website&#039;s generative artificial intelligence tools. The website charges a fee for creation of these images.,Wikipedia
wiki_64681740,Workplace impact of artificial intelligence,"The impact of artificial intelligence on workers includes both applications to improve worker safety and health, and potential hazards that must be controlled",Wikipedia
wiki_64030785,Artificial Intelligence: A Guide for Thinking Humans,Artificial Intelligence: A Guide for Thinking Humans is a 2019 nonfiction book by Santa Fe Institute professor Melanie Mitchell. The book provides an,Wikipedia
wiki_76276121,Model collapse,"In artificial intelligence, model collapse, also known as &quot;AI inbreeding&quot;, &quot;AI cannibalism&quot;, &quot;Habsburg AI&quot;, and &quot;model autophagy disorder&quot; or &quot;MAD&quot;, is",Wikipedia
wiki_71850350,Prompt injection,"artificial intelligence, with 46% adopting it within the past six months. McKinsey identified accuracy as the top generative artificial intelligence risk",Wikipedia
wiki_14027739,Centre for Artificial Intelligence and Robotics,The Centre for Artificial Intelligence and Robotics (CAIR) is a laboratory of the Defence Research &amp; Development Organisation (DRDO). Located in Bangalore,Wikipedia
wiki_81569438,Transparency in Frontier Artificial Intelligence Act,"The Transparency in Frontier Artificial Intelligence Act, also referred to as SB-53, is a 2025 California law which mandates increased transparency for",Wikipedia
wiki_82802086,Hawak Mo ang Beat,also became the subject of widespread debate regarding the use of artificial intelligence in music production. Despite public speculation and industry commentary,Wikipedia
wiki_79104281,2023 in artificial intelligence,"The following is a list of events of the year 2023 in artificial intelligence. ChatGPT has more than 100 million users, making it the fastest-growing",Wikipedia
wiki_82660746,Initial public offering of SpaceX,"initial public offering (IPO) of SpaceX, an American aerospace and artificial intelligence company founded by Elon Musk in 2002, occurred on June 12, 2026",Wikipedia
wiki_77298479,Distributed Artificial Intelligence Research Institute,The Distributed Artificial Intelligence Research Institute (or DAIR Institute) is a research institute founded by Timnit Gebru in December 2021. The institute,Wikipedia
wiki_24714635,AAAI Conference on Artificial Intelligence,The AAAI Conference on Artificial Intelligence is a leading international academic conference in artificial intelligence held annually. It ranks 4th in,Wikipedia
wiki_1988689,Computational cognition,psychology. There are two main purposes for the productions of artificial intelligence: to produce intelligent behaviors regardless of the quality of,Wikipedia
wiki_13884794,Nathaniel Rochester (computer scientist),first assembler and participated in the founding of the field of artificial intelligence. Rochester received his B.S. degree in electrical engineering from,Wikipedia
wiki_79185026,2029 in artificial intelligence,"The following is a list of events of the year 2029 in artificial intelligence, as well as predicted and scheduled events that have not yet occurred. The",Wikipedia
wiki_79186335,2022 in artificial intelligence,"in artificial intelligence. November 30 – OpenAI launches ChatGPT, a generative artificial intelligence chatbot. Timeline of artificial intelligence OpenAI",Wikipedia
wiki_23406915,Shun'ichi Amari,"in Tokyo, Japan. He was a pioneer in information geometry and artificial intelligence. He majored in Mathematical Engineering in 1958 from the University",Wikipedia
wiki_58416194,XTX Markets,"billion to £2.5 billion. In November 2023, XTX Markets launched the Artificial Intelligence Mathematical Olympiad Prize (AIMO), a $10mn challenge fund designed",Wikipedia
wiki_9921285,Artificial Intelligence (John Cale album),"Artificial Intelligence is the tenth solo studio album by the Welsh rock musician John Cale, released on 6 September 1985 by Beggars Banquet Records.",Wikipedia
wiki_519280,Intelligence,stressors. Scholars studying artificial intelligence have proposed definitions of intelligence that include the intelligence demonstrated by machines. Some,Wikipedia
wiki_80134706,Artificial (2026 film),Artificial is an upcoming biographical comedy drama film directed and co-produced by Luca Guadagnino and written by Simon Rich. The film stars Andrew Garfield,Wikipedia
wiki_66294,Reinforcement learning,Andrew W. (1996). &quot;Reinforcement Learning: A Survey&quot;. Journal of Artificial Intelligence Research. 4: 237–285. arXiv:cs/9605103. doi:10.1613/jair.301. S2CID 1708582,Wikipedia
wiki_483655,Artificial human companion,"Their capabilities have expanded significantly with advances in artificial intelligence, large language models (LLMs), affective computing, and social",Wikipedia
wiki_74737180,Spanish Agency for the Supervision of Artificial Intelligence,"Agency for the Supervision of Artificial Intelligence (Spanish: Agencia Española de Supervisión de la Inteligencia Artificial, AESIA) is an autonomous agency",Wikipedia
wiki_168187,Sentience,sentience (or artificial sentience) means the sentience of artificial intelligences. The question of whether artificial intelligences can be sentient,Wikipedia
wiki_80863834,Catholic Church and artificial intelligence,The Catholic Church views artificial intelligence as a significant technological development that must be governed by strict ethical principles rooted,Wikipedia
wiki_76121942,Neural network,"high-stakes applications. Neural networks are used to solve problems in artificial intelligence, and have thereby found applications in many disciplines, including",Wikipedia
wiki_3548574,AI winter,"In the history of artificial intelligence (AI), an AI winter is a period of reduced funding and interest in AI research. The field has experienced several",Wikipedia
wiki_49933350,Tay (chatbot),racist and sexist messages in response to other Twitter users. Artificial intelligence researcher Roman Yampolskiy commented that Tay&#039;s misbehavior was,Wikipedia
wiki_78337427,Artificial intelligence rhetoric,Artificial intelligence rhetoric (AI rhetoric) is a term primarily applied to persuasive text and speech generated by chatbots using generative artificial,Wikipedia
wiki_14892,Intelligence quotient,"An intelligence quotient (IQ) is a total score derived from a set of standardized tests or subtests designed to assess human intelligence. Originally,",Wikipedia
wiki_77238550,Safe and Secure Innovation for Frontier Artificial Intelligence Models Act,"The Safe and Secure Innovation for Frontier Artificial Intelligence Models Act, or SB 1047, was a failed 2024 California bill intended to &quot;mitigate the",Wikipedia
wiki_24251211,Percept (artificial intelligence),"Machine perception Russell, Stuart J.; Norvig, Peter (2010). Artificial Intelligence: A Modern Approach (3rd ed.). Upper Saddle River, NJ: Prentice",Wikipedia
